# 元婴锚点与金丹位格矩阵

✅ 已审核（2026-08-05 用户确认；Codex 同步具体位置与效果矩阵分层）

> 本文是十七道路变量边界与五十一个 `effect_id` 的唯一效果事实源，不负责生产或登记具体位置。表中中文名称均为功能性临时代号；`DS-JINDAN-NAMES-20260718-01` 完成并经 Codex 审查、用户确认前，不得把临时代号当作正式显示名。金丹结构与生命周期见 `元婴锚点与金丹位格设定.txt`，具体位置的内容生产与登记分别见 `金丹位格/金丹位格设计规范.txt`、`金丹位格/金丹位格索引.txt`，装配、兼容和冲突见 `金丹基础效果装配与冲突规则.txt`，自辟元婴方向见 `自辟元婴方向设定.txt`。

## 一、矩阵口径与字段

1. 每条道路当前固定三项基础效果；每项效果均有源版、化版、界版、实际战棋玩法包装与山河落点，共五十一个唯一 `effect_id`、一百五十三个位别版本。
2. 当前世界另有五十一个初始具体位置，由十七条道路各一个源位、一个化位和一个界位组成。位置数量与效果数量只是当前恰好相同；新增化位或界位不自动新增 `effect_id`，新增效果也不自动产生具体位置。
3. 每个具体位置从所属道路效果库声明显式白名单。当前初始五十一个位置均开放所属道路现有三项效果；后续新增化位或界位可以只开放其中一部分。每个真实位格同一时间只装配白名单中的一项。
4. 位格类型决定使用源版、化版或界版，效果不永久绑定到某种位格。实际权限还必须与具体位置的理念边界求交；白名单或位置理念都不能扩大基础效果已有权限。
5. 源版负责具体对象与具体操作；化版负责局部条件筛选和固定传播／转化；界版负责广域粗阵营和固定弱规则。后两者不得扩大源版对象或操作权限。
6. 同一效果跨位格可以纵向嵌套，不同效果默认独立，只有命中显式 `comboProfileId` 才能组合。组合产物不是新位置，也不产生新的占据或效果槽。
7. 显示数据分别表达道路、具体位置、位格类型和基础效果。效果名称字段只能跟随 `effect_id`，不得写入具体位置名称、道路名称或强制拼接标题。
8. “山河落点”只提供长期用途索引，不等同于完整主场景玩法。每个具体位置的主场景入口、操作、成本、维护、产出、对抗、失败与战棋反馈必须在独立位置文档中定义。
9. 本表不锁定倍率、目标数、持续、CT、灵力、资源或概率；任何调参数值进入配置与 BattleSim，不得据本表宣称平衡。

## 二、道路变量与不可越界项

| 根系 | 道路 | `road_id` | 道路根本权限 | 不可越界项 |
|---|---|---|---|---|
| 五行 | 木道路 | `ROAD_WOOD` | 木行的植木显化、五行关系与生发演化 | 战斗显化物不进入战利品或战后存档；不复活根基断绝者；不自由拼装无限进化树 |
| 五行 | 火道路 | `ROAD_FIRE` | 火行的火热显化、五行关系与升烈蔓延 | 不无燃料永久供能；不定义因果触发；不替阳道清除减益 |
| 五行 | 土道路 | `ROAD_EARTH` | 土行的土石显化、五行关系与地载重力 | 不修改真实空间尺度；不直接改 CT；不以重力生成身体器官或飞行资格 |
| 五行 | 金道路 | `ROAD_METAL` | 金行的金属显化、五行关系与磁极从革 | 不作用非金属主材质；不复制对象技能与灵性；不永久转移所有权 |
| 五行 | 水道路 | `ROAD_WATER` | 水行的水象显化、五行关系与潮汐易地 | 不运行全图流体；不传送对象；不改已结算结果；不修改几何高度 |
| 六识 | 见识道路 | `ROAD_SIGHT` | 观察者能看见、指认和辨识什么 | 不制造真实光照；不穿透封闭实体；不改变对象真实身份 |
| 六识 | 闻识道路 | `ROAD_HEARING` | 声音、行动声讯、传令通道与物质共振 | 不改 CT；不强制独立有情服从；不隔空作用无传声媒介对象 |
| 六识 | 息识道路 | `ROAD_BREATH` | 非独立有情灵性对象的控制、灵气流通与灵性启寂 | 不夺舍独立有情；不改变五行生克；不凭空创造完整灵魂 |
| 六识 | 食识道路 | `ROAD_INGEST` | 进入生命体的效果如何吸收、解释和定量转化 | 不处理体外结果；不直接修复结构；放大吸收必须支付代谢预算 |
| 六识 | 身识道路 | `ROAD_BODY` | 单锚点身体体型、形体配置、移动器官与修炼结构接口 | 不变成动态多格模板；不无器官获能力；不建垂直占位层；不改灵根品级；不永久毁号 |
| 六识 | 意识道路 | `ROAD_ACTION` | 当前行动的操作类别、目标集合与已形成行动意图 | 不替角色随机决策；不授予不存在技能；不免除资源和物理前置 |
| 阴阳 | 阴道路 | `ROAD_YIN` | 太阴、极阴之气主导的潜伏、寒封与有益状态压抑 | 不改历史；不把寒封写成时间停止；不清除永久构筑层 |
| 阴阳 | 阳道路 | `ROAD_YANG` | 太阳、极阳之气主导的贯照、亢奋与有害状态祛除 | 不替火无中生能；不替见识改视觉认知；不清除永久构筑层 |
| 宇宙 | 宇道路 | `ROAD_SPACE` | 固定六角拓扑上的加权距离、空间通行与空间封锁 | 不动态增删邻接；不创造土地；不无落点传送；不自动取得主权 |
| 宇宙 | 宙道路 | `ROAD_TIME` | CT、过程持续与角色局部状态快照 | 不倒放全场；不回滚 CT；不撤销外部结果或成本；不改受保护历史 |
| 因果 | 因道路 | `ROAD_CAUSE` | 效果由什么触发、因链由谁承接、发动支付什么 | 不凭空创造效果；不决定最终结果；不形成闭环触发 |
| 因果 | 果道路 | `ROAD_RESULT` | 尚未完成结算的结果内容、承受者和写入时点 | 不免除因债；不改受保护历史；不直接改境界、位格或人格 |

## 三、五行十五项效果

| effect_id | 功能性临时代号 | 源版 | 化版 | 界版 | 实际战棋玩法包装 | 山河落点 |
| HEARING_COMMAND | 闻-传令截断 | 手动切断一个目标与队伍、召唤、傀儡或阵法之间的全部或一类传令通道；失联对象进入预先声明的待机、返航、维持末令或解体模式。 | 局部筛选一种命令类别，使范围内符合者只能通过邻接或实体信使传令。 | 选定阵营的远程协同只能传递粗命令，精确目标、合击和跨图控制失效。 | 棋盘声线断裂，失控单位头顶显示确定的后备模式，不采用随机乱走或故意愚蠢 AI。 | 军令封锁、通信压制、召唤管理和阵法指挥。 |
| HEARING_RESONANCE | 闻-音波共振 | 对一个真实传声或传振对象选择增振或消振，可造成音波冲击、共振破裂、吟唱中断、脚步消声或结构稳定中的一项。 | 局部筛选一种材质、声音或动作，自动执行固定频率的增振或消振。 | 范围内形成弱声场，强动作和脆弱结构持续受同一共振规则影响。 | 玩家选择声源、频率和传播媒介；音波沿空气、地面或器物传播，失去媒介即中断。 | 工程探伤、建筑加固、声讯设施和矿脉测振。 |
| BREATH_CONTROL | 息-灵性控制 | 手动读取并临时接管一个非独立有情的法宝、召唤、持续术法、阵法或灵脉节点；也可只禁止其一项操作。 | 局部筛选一类灵性对象，固定拒绝、暂停或改接一种命令。 | 范围内公共灵性节点只接受登记阵营的一类粗控制，不能批量夺取个人核心法宝。 | 对象控制环翻色或锁定；原主人可夺回现实载体、切断供能或发起同阶控制冲突。 | 灵脉、设施、法统和非有情灵性资产。 |
| BREATH_QI | 息-灵气调御 | 手动选择一种真实灵气及一条通道，强化、削弱、纯化或隔绝其浓度、纯度或流量；不改变其五行属性和生克关系。 | 局部筛选一种灵气，固定执行一种调御操作。 | 范围内维持一条弱灵气规则，如隔绝外来尸煞或提高公共灵气纯度。 | 玩家点选灵气类型和管线；流量、杂质和阻断位置在棋盘上可见，破坏节点即可改流。 | 灵脉、洞府供气、污染治理和环境隔绝。 |
| BREATH_AWAKEN | 息-灵性启寂 | 令一个兼容的非有情器物或结构暂时获得可接令的简单灵性接口，或令一个现有灵性接口沉寂停机；不创造完整人格。 | 局部筛选一类对象，自动启用或关闭预设接口。 | 范围内公共器物统一获得一条弱响应规则，或一类外来灵性接口保持沉寂。 | 无灵构件亮起简单指令槽，沉寂对象的灵性按钮熄灭但实体仍在；供能和接口都可被争夺。 | 器物自动化、公共设施、封存和灵性工坊。 |
| INGEST_INVERT | 食-吸收反转 | 手动把一次尚未吸收的摄入效果在补益与负担间反转，如治疗转伤、毒素转益、补灵转过载；规模受原载荷限制。 | 局部筛选一种摄入路径，统一执行一条预设反转。 | 选定阵营吸收的一类效果只有一小部分按固定方向反转。 | 结算到吸收阶段时显示胃炉和反转路径，体外剑伤不能被解释成摄入。 | 医药、饮食、污染治理和环境适应。 |
| INGEST_SCALE | 食-吸收增减 | 手动显著放大或压低一次摄入效果；放大部分由额外灵力、代谢能力或后续负担支付，衰减部分形成残留或浪费。 | 局部筛选一种摄入路径，固定执行增幅或衰减并承担统一过载。 | 范围内一类摄入获得弱增幅或弱衰减，不能无代价全图倍增。 | 玩家推动吸收倍率并看到代谢槽和体外残留，双方可围绕残留继续操作。 | 药效利用、营养供给、毒害控制和代谢工程。 |
| INGEST_BLOCK | 食-吸收拒止 | 手动令一个目标完全拒绝一次指定摄入效果；投入通常不返还，体外残留按媒介处理。 | 局部筛选一类摄入，统一阻止或延迟吸收。 | 范围内固定执行一条弱广域摄入规则，如限制外部治疗或补灵。 | 目标获得明确禁药、禁疗、禁灵或拒毒标签，未吸收效果落为残留。 | 检疫、禁药区、环境适应和资源封锁。 |
| BODY_SIZE | 身-体型变化 | 手动令一个目标变巨或缩小，改变 `bodyScaleRank`，并按固定档案联动身体触及、通行净空、低位掩体资格、体量受力和模型；始终只占一个锚点格，不自动增加所有术法射程或范围受击次数。 | 局部筛选一类角色，统一套用一种预设体型档及成套触及、净空、掩体和受力变化。 | 选定阵营获得一条弱体型规则，如整体略大以提高身体触及，或略小以通过狭隙；不生成全域多格单位。 | 模型实际缩放，界面同步显示可用掩体、可通行窄边、受力档和读取身体触及的能力范围；模型越出格面不占据邻格。 | 劳作体型、运输、环境通行和巨物工程。 |
| BODY_MORPH | 身-形体变化 | 手动把一个目标变为已知且身体可承载的完整或部分形态；形成翼、掘爪、鳃等真实结构后，可获得 `FLY`、`BURROW`、`SWIM` 的转换与路线资格及对应属性代价，但切换形态仍须正常支付并检查落点。 | 局部筛选一类角色，统一套用一种预设部分变形和一套固定转换动作，不能在每次移动时临场改选不同器官。 | 选定阵营获得一项弱共同适应，如短翼低空移动、浅层钻地或水面游行；界版不授予高空、完全潜水或隐身。 | 玩家选择形态卡，模型、移动形态按钮、合法路线和可攻击形态同步变化；同一六角柱仍只有一个最终占位者，不能仅宣称“变成鸟”就获得鸟类法术或记忆。 | 医疗塑形、血脉训练、环境适应和特殊劳作。 |
| BODY_INTERFACE | 身-身体接口 | 手动接通、修复或隔离一条身体与灵根、血脉、道基或紫府的既有接口；只改变运转，不改结构本质。 | 局部筛选一种接口状态，统一执行预设接通、修复或隔离。 | 选定阵营的一类接口在范围内保持开放、隔离或故障保护。 | 身体接口图显示灵根、血脉、道基、紫府连线；隔离反噬时对应能力也停用。 | 医疗、传承适配和修行设施。 |
| ACTION_OPTION_EDIT | 意-行动选项编辑 | 手动关闭或恢复一个目标下一行动中本来拥有的一项操作类别，如移动、攻击、术法、神通、道具、防御或待机；不授予新技能。 | 局部筛选一类角色，统一关闭或恢复一种预设操作。 | 范围内一类操作附加公开且较弱的使用条件，不能清空全部行动。 | 目标行动菜单的对应按钮锁定并显示解除条件，系统保留至少一个合法出口。 | 组织禁令、地区行为限制和设施规程。 |
| ACTION_TARGET_EDIT | 意-目标集合编辑 | 手动改写一个目标下一行动可选择的目标集合，如只能选择标记者、不能选择被护持者或必须选择最近合法对象；目标仍自行决定具体对象。 | 局部筛选一类角色，统一应用一条预设目标规则。 | 范围内一类行动采用粗目标规则，不突破视野、射程和遮挡。 | 棋盘直接画出合法目标圈；敌方仍在圈内自行选择，不由系统随机代点。 | 护卫规则、组织职责和作业分区。 |
| ACTION_INTENT_LOCK | 意-行动意图锁定 | 令一个目标立即形成并锁定下一行动的技能、目标与路径；只要原方案仍合法就不能临时改选，若变得非法则按公开失败或后备规则处理。 | 局部使符合条件者形成的第一份指定类别意图自动锁定。 | 选定阵营必须提前公开并锁定下一行动的粗类别，具体目标可留到行动时选择。 | 行动轴旁显示封存的意图卡；闻识可读取它，其他单位可通过杀死目标、堵路或封技能使其失效。 | 承诺、军令、流程锁定和公开计划。 |

## 六、因果六项效果

| effect_id | 功能性临时代号 | 源版 | 化版 | 界版 | 实际战棋玩法包装 | 山河落点 |
|---|---|---|---|---|---|---|
| CAUSE_GRAFT | 因-因果嫁接 | 把一个真实存在且可正常释放的术法、神通、法宝、阵法或现场效果嫁接到一个真实的事后事件；可手动设定固定枚举内的触发器、监听对象和目标解析，事件完整结算后自动发动。 | 局部使用一套预设嫁接模板，如敌人进入阵域后由阵眼对触发者释放固定术法。 | 全战场执行一条粗而弱的嫁接规则，如每名敌人第一次移动后受到一次弱火灼；不能为每个对象配置不同效果。 | 玩家连接“效果卡—触发事件—目标解析器”，最多挂载两条规则；自动发动不消耗正常行动权或移动 CT，但与普通反击、追击共用一点自动响应容量，并逐次支付效果资源与冷却。 | 警报、自动防御、契约响应和组织流程。 |
| CAUSE_REASSIGN | 因-因果移接 | 在一条已经触发但尚未完成结算的因链中，把发动者、真实媒介或承载点移接到另一个实际参与且兼容的节点；随之转移归因、反制入口和未支付责任。 | 局部筛选一种代理、召唤或阵法行动，统一把因链移接到预设控制者、媒介或阵眼。 | 范围内匿名或代理行动必须落到一个粗粒度真实责任节点，不能继续以无主因链结算。 | 因链图显示施术者、召唤、媒介和阵眼；玩家拖动因节点后，反击、契约和破坏入口随之改接，行动结果本身不变。 | 代理责任、法统授权、契约履行和事件问责。 |
| CAUSE_COST | 因-因价增减 | 手动提高或降低一个术法、神通、阵法、法宝等效果尚未支付的一类已有发动代价；每次只选择当前灵力、当前生命、材料或充能中的一种，首轮配置区间默认为原价的 50%～200%。 | 局部筛选一类效果和一种已有代价，统一使用一条预设倍率；首轮配置区间默认为 75%～150%。 | 选定阵营、一种粗效果类别和一种已有代价，统一使用弱广域倍率；首轮配置默认为降低至 90% 或提高至 110%。 | 技能按钮直接显示原价、配置倍率、新价和因道维持费；所有倍率均从可随时调整的 `CauseCostTuning` 配置读取，因果嫁接每次触发也按新价支付，资源不足则不发动。 | 税赋、祭仪、设施启用成本和组织资源规章。 |
| RESULT_REWRITE | 果-结果改写 | 截获一次尚未完成结算的行动，改变其一个或多个主要结果组件的性质或去留，如伤害转恢复、治疗转耗灵、保留伤害但删除击退；总规模受原行动预算限制。 | 局部筛选一类行动，固定改写、保留或剔除一种结果组件。 | 选定阵营的一类行动只有一小部分结果或一个次要组件按固定规则改变。 | 玩家展开结果卡组并翻面或划去组件；原行动成本、动作和冷却不返还。 | 工程验收、贸易交割、研究产出和战争结果。 |
| RESULT_TRANSFER | 果-结果转移 | 把一次尚未完成的完整结果转移给另一个合法承受者、地格或承接结构；不改变结果内容与原投入。 | 局部筛选一类行动，把其中一种结果固定转移给行动者、目标或预设承接者。 | 范围内未完成结果不因原承受者退场消失，而留在原地或寻找预设合法承接者。 | 玩家在落地前拖动结果卡到合法承受者；若没有合法承接点则失败，禁止循环转移。 | 组织责任、物流、建设与战果承接。 |
| RESULT_BEFORE_CAUSE | 果-果先因后 | 令一个已声明且具有合法结果范围的行动先写入主要结果，再登记本应支付的行动、资源、媒介、过程和冷却为因债；源版可以使用当前时点逆结算，也可由专属原型预先声明保留结果并没收永久抵押。 | 局部筛选一种行动，只允许一个预设且可逆的结果组件提前落地，并以固定方式追缴因债；不能调用永久抵押。 | 选定阵营的一类行动只提前写入一个较弱、固定且可逆的结果组件，其余结果仍正常结算；不能批量抵押。 | 结果先落地并挂出因债卡，卡上显示真实持有者、补因内容、期限、逆结算、反噬或永久抵押；移动、临时召唤、构件和环境可由专属抵押原型保留，死亡、复活和永久伤残只有源版专属原型可显式开放。 | 赊借建设、先行救济、信用生产和延后履约。 |
